dateForecast,ID_CASE,CROP,SOIL,METEO,readilyAvailableWater,soilWaterDeficit,rootDepth,forecast7daysPrec,forecast7daysMaxTransp,forecast7daysIRR,previous14daysIRR,previousAllSeasonIRR
2018-05-18,M01098S91C1,CORN,CTL7,01098,36.0,31.0,0.75,39.3,26.0,0,0,0
2018-05-18,M01098S91C12,GRAPEVINE,CTL7,01098,50.1,52.0,1.00,39.3,20.6,0,0,0
2018-05-18,M01098S91C2,RAINFEDWHEAT,CTL7,01098,67.6,101.7,1.46,39.3,25.6,0,0,0
2018-05-18,M01098S91C3,ALFALFA,CTL7,01098,56.8,116.4,1.50,39.3,15.5,0,0,0
2018-05-18,M01099S15C1,CORN,BEL1,01099,56.3,28.6,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S15C12,GRAPEVINE,BEL1,01099,70.8,50.9,1.00,27.0,20.1,0,0,0
2018-05-18,M01099S15C2,RAINFEDWHEAT,BEL1,01099,100.2,93.1,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S15C3,ALFALFA,BEL1,01099,92.0,110.8,1.55,27.0,14.9,0,0,0
2018-05-18,M01099S227C1,CORN,RNV1,01099,36.2,28.2,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S227C12,GRAPEVINE,RNV1,01099,43.8,45.3,1.00,27.0,20.1,0,0,0
2018-05-18,M01099S227C2,RAINFEDWHEAT,RNV1,01099,62.0,91.5,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S227C3,ALFALFA,RNV1,01099,51.1,105.3,1.50,27.0,14.9,0,0,0
2018-05-18,M01099S267C1,CORN,SMB1,01099,55.7,28.6,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S267C2,RAINFEDWHEAT,SMB1,01099,104.9,93.1,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S267C3,ALFALFA,SMB1,01099,142.2,112.5,1.90,27.0,14.9,0,0,0
2018-05-18,M01099S284C1,CORN,TEG2,01099,41.1,28.0,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S284C12,GRAPEVINE,TEG2,01099,53.9,46.4,1.00,27.0,20.1,0,0,0
2018-05-18,M01099S284C2,RAINFEDWHEAT,TEG2,01099,73.4,91.0,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S284C26,PEACH,TEG2,01099,45.0,70.9,1.20,27.0,26.1,0,0,0
2018-05-18,M01099S284C3,ALFALFA,TEG2,01099,74.9,151.8,2.00,27.0,14.9,0,0,0
2018-05-18,M01099S65C1,CORN,CON1,01099,42.6,28.6,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S65C12,GRAPEVINE,CON1,01099,36.7,48.4,1.00,27.0,20.1,0,0,0
2018-05-18,M01099S65C2,RAINFEDWHEAT,CON1,01099,22.0,92.9,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S65C26,PEACH,CON1,01099,13.6,73.3,1.20,27.0,26.1,0,0,0
2018-05-18,M01099S65C3,ALFALFA,CON1,01099,5.7,109.1,1.50,27.0,14.9,0,0,0
2018-05-18,M01099S88C1,CORN,CTL4,01099,41.5,28.2,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S88C12,GRAPEVINE,CTL4,01099,57.2,46.2,1.00,27.0,20.1,0,0,0
2018-05-18,M01099S88C2,RAINFEDWHEAT,CTL4,01099,81.7,91.5,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S88C3,ALFALFA,CTL4,01099,69.2,107.3,1.50,27.0,14.9,0,0,0
2018-05-18,M01099S91C1,CORN,CTL7,01099,39.9,28.2,0.76,27.0,25.3,0,0,0
2018-05-18,M01099S91C12,GRAPEVINE,CTL7,01099,55.7,46.5,1.00,27.0,20.1,0,0,0
2018-05-18,M01099S91C13,PEACH,CTL7,01099,47.0,71.2,1.20,27.0,26.1,0,0,0
2018-05-18,M01099S91C2,RAINFEDWHEAT,CTL7,01099,78.6,91.6,1.47,27.0,24.6,0,0,0
2018-05-18,M01099S91C3,ALFALFA,CTL7,01099,65.6,107.5,1.50,27.0,14.9,0,0,0
2018-05-18,M01100S15C1,CORN,BEL1,01100,59.5,25.5,0.76,18.1,24.1,0,0,0
2018-05-18,M01100S182C1,CORN,MON1,01100,64.2,25.1,0.76,18.1,24.1,0,0,0
2018-05-18,M01100S182C12,GRAPEVINE,MON1,01100,79.3,45.6,1.00,18.1,19.3,0,0,0
